Crank Angle	PCYL1	CAM_TRIG	
deg	bar	V	
10.8	34.881		
10.9	34.753		
11.0	34.626	0.85920	
11.1	34.495		
11.2	34.365		
11.3	34.231		
11.4	34.101		
11.5	33.968		
11.6	33.837		
11.7	33.704		
11.8	33.571		
11.9	33.435		
12.0	33.302	0.85920	
12.1	33.168		
12.2	33.035		
12.3	32.902		
12.4	32.766		
12.5	32.633		
12.6	32.500		
12.7	32.369		
12.8	32.233		
12.9	32.097		
13.0	31.967	0.85920	
13.1	31.831		
13.2	31.695		
13.3	31.565		
13.4	31.429		
13.5	31.290		
13.6	31.157		
13.7	31.021		
13.8	30.885		
13.9	30.749		
14.0	30.616	0.85920	
14.1	30.480		
14.2	30.344		
14.3	30.206		
14.4	30.073		
14.5	29.934		
14.6	29.804		
14.7	29.668		
14.8	29.535		
14.9	29.396		
15.0	29.263	0.85920	
15.1	29.130		
15.2	28.996		
15.3	28.863		
15.4	28.733		
15.5	28.599		
15.6	28.466		
15.7	28.333		
15.8	28.203		
15.9	28.067		
16.0	27.936	0.85920	
16.1	27.803		
16.2	27.672		
16.3	27.539		
16.4	27.406		
16.5	27.275		
16.6	27.148		
16.7	27.014		
16.8	26.886		
16.9	26.753		
17.0	26.625	0.85920	
17.1	26.495		
17.2	26.367		
17.3	26.236		
17.4	26.109		
17.5	25.981		
17.6	25.855		
17.7	25.725		
17.8	25.600		
17.9	25.475		
18.0	25.347	0.85920	
18.1	25.221		
18.2	25.096		
18.3	24.971		
18.4	24.846		
18.5	24.721		
18.6	24.598		
18.7	24.473		
18.8	24.350		
18.9	24.228		
19.0	24.103	0.85920	
19.1	23.980		
19.2	23.857		
19.3	23.735		
19.4	23.618		
19.5	23.495		
19.6	23.375		
19.7	23.258		
19.8	23.138		
19.9	23.018		
20.0	22.904	0.85920	
20.1	22.784		
20.2	22.669		
20.3	22.552		
20.4	22.435		
20.5	22.318		
20.6	22.203		
20.7	22.089		
20.8	21.974		
20.9	21.859		
21.0	21.748	0.85920	
21.1	21.633		
21.2	21.524		
21.3	21.412		
21.4	21.297		
21.5	21.185		
21.6	21.076		
21.7	20.967		
21.8	20.858		
21.9	20.748		
22.0	20.639	0.85920	
22.1	20.533		
22.2	20.426		
22.3	20.320		
22.4	20.213		
22.5	20.104		
22.6	19.997		
22.7	19.891		
22.8	19.789		
22.9	19.686		
23.0	19.582	0.85920	
23.1	19.480		
23.2	19.376		
23.3	19.273		
23.4	19.174		
23.5	19.073		
23.6	18.974		
23.7	18.873		
23.8	18.774		
23.9	18.673		
24.0	18.575	0.85920	
24.1	18.479		
24.2	18.383		
24.3	18.284		
24.4	18.188		
24.5	18.090		
24.6	17.997		
24.7	17.901		
24.8	17.807		
24.9	17.711		
25.0	17.618	0.85920	
25.1	17.525		
25.2	17.434		
25.3	17.341		
25.4	17.248		
25.5	17.160		
25.6	17.069		
25.7	16.979		
25.8	16.891		
25.9	16.800		
26.0	16.712	0.85920	
26.1	16.625		
26.2	16.537		
26.3	16.451		
26.4	16.366		
26.5	16.281		
26.6	16.196		
26.7	16.110		
26.8	16.025		
26.9	15.940		
27.0	15.857	0.85920	
27.1	15.772		
27.2	15.689		
27.3	15.610		
27.4	15.527		
27.5	15.444		
27.6	15.367		
27.7	15.284		
27.8	15.205		
27.9	15.125		
28.0	15.047	0.85920	
28.1	14.970		
28.2	14.893		
28.3	14.816		
28.4	14.738		
28.5	14.658		
28.6	14.581		
28.7	14.507		
28.8	14.432		
28.9	14.357		
29.0	14.283	0.85920	
29.1	14.208		
29.2	14.136		
29.3	14.062		
29.4	13.990		
29.5	13.915		
29.6	13.843		
29.7	13.774		
29.8	13.702		
29.9	13.630		
30.0	13.561	0.85920	
30.1	13.492		
30.2	13.420		
30.3	13.353		
30.4	13.284		
30.5	13.215		
30.6	13.145		
